iter	Passed	Remaining
371	877	1480
372	879	1478
373	881	1475
374	883	1472
375	885	1469
376	887	1466
377	889	1464
378	892	1461
379	894	1458
380	896	1456
381	898	1453
382	900	1450
383	902	1448
384	904	1445
385	906	1442
386	909	1440
387	911	1437
388	913	1434
389	915	1432
390	917	1429
391	920	1427
392	922	1424
393	924	1421
394	926	1419
395	928	1416
396	931	1414
397	933	1411
398	935	1408
399	937	1406
400	939	1403
401	941	1400
402	943	1398
403	945	1395
404	948	1393
405	950	1390
406	952	1387
407	954	1385
408	957	1383
409	959	1380
410	961	1377
411	963	1375
412	965	1372
413	967	1370
414	970	1367
415	972	1364
416	974	1361
417	976	1359
418	978	1356
419	980	1354
420	982	1351
421	984	1349
422	987	1346
423	989	1344
424	991	1341
425	993	1339
426	996	1336
427	998	1334
428	1000	1331
429	1002	1329
430	1005	1326
431	1007	1324
432	1009	1321
433	1011	1319
434	1013	1316
435	1015	1314
436	1018	1311
437	1020	1309
438	1022	1306
439	1024	1303
440	1026	1301
441	1028	1298
442	1031	1296
443	1033	1293
444	1035	1291
445	1037	1288
446	1039	1286
447	1041	1283
448	1044	1281
449	1046	1278
450	1048	1276
451	1050	1273
452	1052	1271
453	1054	1268
454	1057	1266
455	1059	1263
456	1061	1260
457	1063	1258
458	1065	1256
459	1067	1253
460	1070	1251
461	1072	1248
462	1074	1246
463	1076	1243
464	1078	1241
465	1081	1238
466	1083	1236
467	1085	1234
468	1087	1231
469	1090	1229
470	1092	1226
471	1094	1224
472	1096	1222
473	1098	1219
474	1101	1217
475	1103	1214
476	1105	1212
477	1107	1209
478	1109	1207
479	1112	1204
480	1114	1202
481	1116	1200
482	1119	1197
483	1121	1195
484	1123	1193
485	1125	1190
486	1128	1188
487	1130	1186
488	1132	1183
489	1134	1181
490	1137	1178
491	1139	1176
492	1141	1173
493	1143	1171
494	1146	1169
495	1148	1166
496	1150	1164
497	1152	1161
498	1154	1159
499	1156	1156
500	1159	1154
501	1161	1152
502	1163	1149
503	1165	1147
504	1167	1144
505	1169	1142
506	1171	1139
507	1174	1137
508	1176	1134
509	1178	1132
510	1180	1129
511	1182	1126
512	1184	1124
513	1186	1122
514	1188	1119
515	1191	1117
516	1193	1114
517	1195	1112
518	1197	1110
519	1200	1107
520	1202	1105
521	1204	1103
522	1206	1100
523	1209	1098
524	1211	1095
525	1213	1093
526	1215	1091
527	1217	1088
528	1220	1086
529	1222	1083
530	1224	1081
531	1226	1079
532	1229	1076
533	1231	1074
534	1233	1072
535	1236	1070
536	1238	1067
537	1240	1065
538	1242	1062
539	1244	1060
540	1246	1057
541	1248	1055
542	1251	1052
543	1253	1050
544	1255	1048
545	1257	1045
546	1260	1043
547	1262	1041
548	1264	1038
549	1266	1036
550	1268	1033
551	1271	1031
552	1273	1029
553	1275	1026
554	1277	1024
555	1280	1022
556	1282	1020
557	1284	1017
558	1286	1015
559	1288	1012
560	1291	1010
561	1293	1007
562	1295	1005
563	1297	1003
564	1299	1000
565	1301	998
566	1304	995
567	1306	993
568	1308	991
569	1310	988
570	1313	986
571	1315	984
572	1317	981
573	1320	979
574	1322	977
575	1324	974
576	1326	972
577	1329	970
578	1331	968
579	1333	965
580	1335	963
581	1338	961
582	1340	958
583	1342	956
584	1344	954
585	1347	951
586	1349	949
587	1351	946
588	1353	944
589	1355	942
590	1357	939
591	1360	937
592	1362	934
593	1364	932
594	1366	930
595	1368	927
596	1370	925
597	1372	922
598	1374	920
599	1376	917
600	1379	915
601	1381	913
602	1383	910
603	1385	908
604	1387	905
605	1389	903
606	1391	901
607	1393	898
608	1396	896
609	1398	893
610	1400	891
611	1402	889
612	1404	886
613	1407	884
614	1409	882
615	1411	879
616	1413	877
617	1415	875
618	1418	872
619	1420	870
620	1422	868
621	1424	865
622	1426	863
623	1428	860
624	1431	858
625	1433	856
626	1435	854
627	1437	851
628	1439	849
629	1442	847
630	1444	844
631	1446	842
632	1448	839
633	1450	837
634	1452	835
635	1455	832
636	1457	830
637	1459	828
638	1461	825
639	1464	823
640	1466	821
641	1468	818
642	1470	816
643	1472	814
644	1474	811
645	1477	809
646	1479	807
647	1481	804
648	1483	802
649	1485	799
650	1487	797
651	1490	795
652	1492	792
653	1494	790
654	1496	788
655	1498	785
656	1500	783
657	1503	781
658	1505	778
659	1507	776
660	1509	774
661	1511	771
662	1513	769
663	1516	767
664	1518	764
665	1520	762
666	1522	760
667	1524	757
668	1526	755
669	1528	753
670	1531	750
671	1533	748
672	1535	746
673	1537	743
674	1539	741
675	1542	739
676	1544	736
677	1546	734
678	1548	732
679	1550	729
680	1552	727
681	1555	725
682	1557	722
683	1559	720
684	1561	718
685	1563	715
686	1566	713
687	1568	711
688	1570	708
689	1572	706
690	1574	704
691	1576	701
692	1578	699
693	1580	697
694	1583	694
695	1585	692
696	1587	690
697	1589	687
698	1591	685
699	1593	683
700	1595	680
701	1598	678
702	1600	676
703	1602	673
704	1605	671
705	1607	669
706	1609	667
707	1611	664
708	1613	662
709	1615	659
710	1618	657
711	1620	655
712	1622	653
713	1624	650
714	1626	648
715	1628	646
716	1631	643
717	1633	641
718	1635	639
719	1637	636
720	1639	634
721	1641	632
722	1643	629
723	1645	627
724	1647	625
725	1650	622
726	1652	620
727	1654	618
728	1656	615
729	1658	613
730	1660	611
731	1662	608
732	1665	606
733	1667	604
734	1669	601
735	1671	599
736	1673	597
737	1675	594
738	1677	592
739	1679	590
740	1682	587
741	1684	585
742	1686	583
743	1688	581
744	1691	578
745	1693	576
746	1695	574
747	1697	571
748	1699	569
749	1701	567
750	1704	564
751	1706	562
752	1708	560
753	1710	558
754	1712	555
755	1714	553
756	1716	551
757	1718	548
758	1720	546
759	1723	544
760	1725	541
761	1727	539
762	1729	537
763	1731	534
764	1733	532
765	1735	530
766	1737	527
767	1740	525
768	1742	523
769	1744	521
770	1746	518
771	1748	516
772	1750	514
773	1753	511
774	1755	509
775	1757	507
776	1759	504
777	1761	502
778	1763	500
779	1766	498
780	1768	495
781	1770	493
782	1773	491
783	1775	489
784	1777	486
785	1780	484
786	1782	482
787	1784	480
788	1786	477
789	1789	475
790	1792	473
791	1794	471
792	1797	469
793	1799	466
794	1801	464
795	1803	462
796	1806	460
797	1808	457
798	1810	455
799	1812	453
800	1814	450
801	1817	448
802	1819	446
803	1821	444
804	1824	441
805	1826	439
806	1828	437
807	1830	435
808	1833	432
809	1843	432
810	1846	430
811	1850	428
812	1852	426
813	1855	424
814	1858	421
815	1861	419
816	1863	417
817	1866	415
818	1868	413
819	1871	410
820	1873	408
821	1875	406
822	1878	403
823	1880	401
824	1882	399
825	1885	397
826	1887	394
827	1889	392
828	1892	390
829	1894	388
830	1896	385
831	1898	383
832	1901	381
833	1903	378
834	1905	376
835	1908	374
836	1910	372
837	1913	369
838	1915	367
839	1917	365
840	1920	363
841	1922	360
842	1925	358
843	1927	356
844	1929	354
845	1932	351
846	1934	349
847	1936	347
848	1938	344
849	1940	342
850	1943	340
851	1945	337
852	1947	335
853	1949	333
854	1951	330
855	1953	328
856	1956	326
857	1958	324
858	1960	321
859	1962	319
860	1964	317
861	1967	314
862	1969	312
863	1971	310
864	1974	308
865	1976	305
866	1978	303
867	1980	301
868	1983	298
869	1985	296
870	1987	294
871	1989	292
872	1992	289
873	1994	287
874	1997	285
875	1999	283
876	2001	280
877	2003	278
878	2006	276
879	2008	273
880	2010	271
881	2012	269
882	2015	267
883	2017	264
884	2019	262
885	2021	260
886	2024	257
887	2026	255
888	2028	253
889	2030	251
890	2033	248
891	2035	246
892	2037	244
893	2040	241
894	2042	239
895	2044	237
896	2046	235
897	2049	232
898	2051	230
899	2053	228
900	2056	225
901	2058	223
902	2060	221
903	2063	219
904	2065	216
905	2067	214
906	2070	212
907	2072	209
908	2074	207
909	2076	205
910	2078	203
911	2081	200
912	2084	198
913	2086	196
914	2089	194
915	2091	191
916	2093	189
917	2096	187
918	2098	184
919	2101	182
920	2104	180
921	2106	178
922	2108	175
923	2110	173
924	2113	171
925	2115	169
926	2117	166
927	2119	164
928	2122	162
929	2124	159
930	2126	157
931	2129	155
932	2132	153
933	2134	150
934	2136	148
935	2139	146
936	2141	143
937	2143	141
938	2146	139
939	2148	137
940	2150	134
941	2152	132
942	2155	130
943	2157	127
944	2159	125
945	2162	123
946	2164	121
947	2166	118
948	2169	116
949	2171	114
950	2174	112
951	2176	109
952	2179	107
953	2181	105
954	2183	102
955	2185	100
956	2188	98
957	2190	96
958	2192	93
959	2194	91
960	2196	89
961	2198	86
962	2201	84
963	2203	82
964	2206	80
965	2208	77
966	2211	75
967	2213	73
968	2215	70
969	2218	68
970	2220	66
971	2222	64
972	2224	61
973	2227	59
974	2229	57
975	2232	54
976	2234	52
977	2236	50
978	2239	48
979	2241	45
980	2243	43
981	2246	41
982	2248	38
983	2250	36
984	2253	34
985	2255	32
986	2257	29
987	2260	27
988	2262	25
989	2264	22
990	2267	20
991	2269	18
992	2271	16
993	2274	13
994	2276	11
995	2278	9
996	2280	6
997	2282	4
998	2284	2
999	2287	0
