iter	MultiClass
342	0.308223859
343	0.3081033171
344	0.3079057428
345	0.3077904017
346	0.3076578194
347	0.3074633248
348	0.307365986
349	0.307287652
350	0.307195425
351	0.3071016554
352	0.3069573477
353	0.3068386665
354	0.3066075283
355	0.3064805344
356	0.3063788421
357	0.3062000314
358	0.3061370572
359	0.3060934083
360	0.3059257103
361	0.3058727555
362	0.3057534721
363	0.3056533489
364	0.3055491298
365	0.3054123104
366	0.3051941283
367	0.3049508193
368	0.3048635318
369	0.3047942177
370	0.3047150448
371	0.30464132
372	0.3044900733
373	0.3044044613
374	0.3042950477
375	0.3041205244
376	0.3040439194
377	0.3039270414
378	0.3038509141
379	0.3037629896
380	0.3036352538
381	0.3035474514
382	0.3034777095
383	0.303369372
384	0.3031508151
385	0.303000679
386	0.3029029232
387	0.3027786396
388	0.3027300655
389	0.3025545278
390	0.302352012
391	0.3022286617
392	0.3021199432
393	0.3020080829
394	0.3018351659
395	0.3016968533
396	0.3013814886
397	0.3012586629
398	0.3011839517
399	0.3010590977
400	0.3009981892
401	0.3008687612
402	0.3008046323
403	0.3007275168
404	0.3005441496
405	0.3004430932
406	0.3003261486
407	0.3001539131
408	0.3000687055
409	0.2999470712
410	0.2997526751
411	0.299698391
412	0.2996316339
413	0.2994715413
414	0.2993955174
415	0.2993066246
416	0.2991633365
417	0.2990649925
418	0.2989681735
419	0.298914046
420	0.2987509571
421	0.2986604102
422	0.2985233092
423	0.2984095162
424	0.2982139108
425	0.2980710634
426	0.2978753841
427	0.2977722945
428	0.297637721
429	0.297419286
430	0.297308692
431	0.2971908259
432	0.2970996984
433	0.2969805168
434	0.296900515
435	0.296850964
436	0.2967427098
437	0.2966633898
438	0.2966131734
439	0.2965240998
440	0.2964093099
441	0.2962749825
442	0.296177354
443	0.296092232
444	0.2959528755
445	0.2958559134
446	0.2958023392
447	0.2956817712
448	0.2955605997
449	0.2954409982
450	0.2953806642
451	0.2953148479
452	0.2952203024
453	0.2951549037
454	0.2951100816
455	0.2950049452
456	0.2949538346
457	0.2948593925
458	0.2947248702
459	0.2946366445
460	0.2945746011
461	0.2944785156
462	0.2943944943
463	0.2943313825
464	0.2942445333
465	0.2941203375
466	0.2940307934
467	0.2939183817
468	0.2937955592
469	0.2936949632
470	0.2935931732
471	0.2935445237
472	0.2934204091
473	0.2933658382
474	0.2932478447
475	0.293087888
476	0.2929664789
477	0.2928105068
478	0.2927387022
479	0.2926185284
480	0.2925378745
481	0.2924463123
482	0.2923770203
483	0.292297928
484	0.2922050243
485	0.2921370328
486	0.2920671533
487	0.2919981479
488	0.2919212414
489	0.2918349344
490	0.291738473
491	0.2915944943
492	0.2915058605
493	0.2914167172
494	0.2912871223
495	0.2912149747
496	0.2911616768
497	0.2910436126
498	0.2909511596
499	0.2908433559
500	0.2907455736
501	0.2906864575
502	0.2905982682
503	0.2905048538
504	0.2904206783
505	0.2903455808
506	0.2902872382
507	0.290233037
508	0.2901797204
509	0.2900952367
510	0.2900261053
511	0.2899644302
512	0.2898468709
513	0.2896945053
514	0.2895785609
515	0.2895070421
516	0.2893806716
517	0.2893179522
518	0.2892360433
519	0.2891508455
520	0.2890724092
521	0.2889835048
522	0.2888665976
523	0.2887274083
524	0.2886734982
525	0.2886025265
526	0.2885182846
527	0.2884527008
528	0.2883335063
529	0.2881818048
530	0.2880874579
531	0.2880089535
532	0.2878938916
533	0.2877024551
534	0.2875730733
535	0.2874452813
536	0.2873848373
537	0.2872650837
538	0.2871967819
539	0.2871005631
540	0.2870278975
541	0.2868679538
542	0.2867304065
543	0.2866596729
544	0.2864893847
545	0.2864029835
546	0.2863274172
547	0.2862762686
548	0.2862122129
549	0.2861361025
550	0.2860684322
551	0.2859092437
552	0.2857321018
553	0.2856436366
554	0.2855559202
555	0.2854851681
556	0.285367684
557	0.2852969744
558	0.2851860687
559	0.2850919063
560	0.2850267908
561	0.2849707735
562	0.2848539671
563	0.2847158313
564	0.2846487685
565	0.2846146371
566	0.2845173154
567	0.2844286359
568	0.2843439359
569	0.2840970399
570	0.2839271179
571	0.2838505678
572	0.2837917804
573	0.2836932017
574	0.2836338015
575	0.2835539621
576	0.2834572044
577	0.2833673919
578	0.2832471509
579	0.2831973047
580	0.2830070023
581	0.282942938
582	0.2828978423
583	0.2827395909
584	0.2826490247
585	0.2825936725
586	0.2824562589
587	0.2824077743
588	0.2823399382
589	0.2822513455
590	0.2821177091
591	0.2820431607
592	0.2819812378
593	0.2818449588
594	0.2817578012
595	0.281712899
596	0.2816352351
597	0.2815668688
598	0.2814769455
599	0.2813513638
600	0.2812614926
601	0.2811660476
602	0.2810757334
603	0.2809640458
604	0.2808679628
605	0.2808036643
606	0.2806894367
607	0.2806179615
608	0.2805474049
609	0.2804336806
610	0.2803281795
611	0.2802409336
612	0.2800808364
613	0.2799535518
614	0.2798404922
615	0.2795542692
616	0.2794116997
617	0.2793452182
618	0.2792892949
619	0.2791628428
620	0.2790637886
621	0.2790262121
622	0.2789435323
623	0.2788164326
624	0.2787126305
625	0.2786265031
626	0.2784996701
627	0.2783683269
628	0.2783047909
629	0.2782068897
630	0.2781476698
631	0.2780907246
632	0.2780086734
633	0.2778744605
634	0.2778359603
635	0.2777552505
636	0.277606704
637	0.2775285263
638	0.2774295077
639	0.2773440783
640	0.2772831985
641	0.2772073399
642	0.2771725411
643	0.2770624465
644	0.277008321
645	0.2768972911
646	0.2768155679
647	0.2767400152
648	0.2766425367
649	0.2765530438
650	0.2763951262
651	0.2763387762
652	0.2761903855
653	0.2761362034
654	0.2760796885
655	0.2760068342
656	0.2758667503
657	0.2757854194
658	0.2757115121
659	0.2756110787
660	0.2755119879
661	0.2753901809
662	0.2753280059
663	0.2752317794
664	0.2751645667
665	0.2750929056
666	0.2750410952
667	0.2749133598
668	0.2748412014
669	0.274780907
670	0.2746868123
671	0.2745629785
672	0.2744481093
673	0.2743847897
674	0.2742115747
675	0.2741278283
676	0.2740279287
677	0.2738566409
678	0.2737574091
679	0.2737003279
680	0.2735850702
681	0.2735348934
682	0.2734839479
683	0.2733223301
684	0.2732556595
685	0.273172818
686	0.2730734195
687	0.2730093825
688	0.272851934
689	0.2728087451
690	0.2727611218
691	0.2726972461
692	0.2726431037
693	0.2725806789
694	0.272533933
695	0.2724767458
696	0.2723603953
697	0.2723220183
698	0.2722737549
699	0.2721481384
700	0.2720481972
701	0.2719717541
702	0.2718832057
703	0.2718047371
704	0.2716811182
705	0.2715576574
706	0.271457509
707	0.2714204224
708	0.2713450365
709	0.2711607113
710	0.27100732
711	0.2709306834
712	0.2708607299
713	0.2707567738
714	0.2706270254
715	0.2705276851
716	0.2703958794
717	0.2703024447
718	0.2702101122
719	0.2700959118
720	0.2700176685
721	0.2698320207
722	0.2697015169
723	0.2695718137
724	0.2695301069
725	0.2694404149
726	0.2693022271
727	0.269236634
728	0.2691082862
729	0.2690530374
730	0.2689325817
731	0.2688031442
732	0.2686931525
733	0.2686182218
734	0.2685369254
735	0.268484657
736	0.2683488406
737	0.2681409129
738	0.268058229
739	0.2679831047
740	0.2679250532
741	0.2678140191
742	0.2677425805
743	0.2676694522
744	0.2675920895
745	0.2675097733
746	0.2674458576
747	0.2673889529
748	0.2673147958
749	0.2672092236
750	0.2671057747
751	0.2670573071
752	0.266962442
753	0.2669018935
754	0.2667777383
755	0.2667122766
756	0.2666254012
757	0.2665905458
758	0.2665356589
759	0.2664385449
760	0.2662898818
761	0.2661661283
762	0.2660776818
763	0.266020129
764	0.2659213499
765	0.2658217889
766	0.2656225295
767	0.2655419131
768	0.2653688199
769	0.2652638736
770	0.2652117556
771	0.2651111058
772	0.2650324543
773	0.2649674939
774	0.2648955412
775	0.2648604898
776	0.2647748385
777	0.2646361943
778	0.2646048277
779	0.264535272
780	0.2644613587
781	0.2644103701
782	0.2642430856
783	0.2641789755
784	0.2640527236
785	0.2640235991
786	0.2639472793
787	0.2639068637
788	0.2637952195
789	0.2636996688
790	0.2635795416
791	0.2635218022
792	0.2633543238
793	0.2632827215
794	0.2631751402
795	0.2631308892
796	0.2629962573
797	0.2628770359
798	0.262763568
799	0.2627162089
800	0.2626142988
801	0.2625030167
802	0.262444623
803	0.2623470401
804	0.2622213665
805	0.2621377252
806	0.2619721226
807	0.261936516
808	0.2618010695
809	0.2617568625
810	0.261711493
811	0.2616337983
812	0.2615550775
813	0.2614486319
814	0.2613712027
815	0.2613273199
816	0.2612198162
817	0.2611569108
818	0.2611039216
819	0.2610733017
820	0.2609620544
821	0.2607359961
822	0.2606878869
823	0.2606207184
824	0.2605513944
825	0.2604545804
826	0.2603885024
827	0.2603098972
828	0.2602599493
829	0.2601977073
830	0.2601226271
831	0.2599750536
832	0.2599240315
833	0.2598773912
834	0.2598271827
835	0.259734896
836	0.259599334
837	0.2595242756
838	0.2594426731
839	0.2593135816
840	0.2592300101
841	0.2591175303
842	0.2590087234
843	0.2589745844
844	0.2588890953
845	0.2587875674
846	0.2587372263
847	0.2586871703
848	0.2586222817
849	0.2585020971
850	0.2583729738
851	0.2583040579
852	0.2582580079
853	0.2581651889
854	0.2580995555
855	0.2580159761
856	0.2579554875
857	0.2578883711
858	0.2577881431
859	0.2576763481
860	0.2576157493
861	0.2575635228
862	0.2574924446
863	0.2574424984
864	0.2573241362
865	0.2572424123
866	0.2571349697
867	0.2570856007
868	0.2570076368
869	0.2569035086
870	0.2568189297
871	0.2567561533
872	0.2566736842
873	0.2565435346
874	0.2563953386
875	0.2562855411
876	0.2562361961
877	0.2561761431
878	0.2560578069
879	0.2559733521
880	0.2558208049
881	0.2557120202
882	0.2556618152
883	0.2556102966
884	0.2554923739
885	0.2553788168
886	0.2552871443
887	0.255230289
888	0.2551216567
889	0.2549967617
890	0.2549244991
891	0.2548760877
892	0.2547603307
893	0.2546675971
894	0.2546227975
895	0.2545872106
896	0.2544694085
897	0.2544210489
898	0.2542907444
899	0.2542656008
900	0.2541924015
901	0.2541227056
902	0.2540493037
903	0.2539853376
904	0.2539095773
905	0.2537836192
906	0.2536821487
907	0.2536369477
908	0.2535951974
909	0.2535471068
910	0.2534877235
911	0.2534060603
912	0.2532799667
913	0.2531565562
914	0.2530280618
915	0.2529317903
916	0.2528831201
917	0.252755611
918	0.252692211
919	0.2526440818
920	0.2525780018
921	0.2524271028
922	0.2523417861
923	0.2522566269
924	0.252211258
925	0.2521662315
926	0.2520968596
927	0.2520441023
928	0.2519359835
929	0.2518123413
930	0.2516820669
931	0.2516240489
932	0.2515358937
933	0.2514610693
934	0.2513953188
935	0.2512954854
936	0.2512153439
937	0.2511771761
938	0.2510992809
939	0.2510077381
940	0.2509025516
941	0.2507925563
942	0.2507386403
943	0.2506799434
944	0.2506363129
945	0.2505663485
946	0.2504219441
947	0.2503535225
948	0.2502559314
949	0.2502086793
950	0.2501039129
951	0.2500387444
952	0.2499055388
953	0.249826317
954	0.2497784467
955	0.2497104177
956	0.2496532852
957	0.2496080044
958	0.2495684775
959	0.2495117501
960	0.2493744905
961	0.2492934271
962	0.2492323977
963	0.2492077392
964	0.2491455414
965	0.2490680187
966	0.2490076079
967	0.2489455118
968	0.248868176
969	0.2487898035
970	0.2487341703
971	0.2486612561
972	0.2485438134
973	0.2484620018
974	0.2483962757
975	0.2482975849
976	0.2482215688
977	0.2481712639
978	0.248090865
979	0.248011744
980	0.2478919471
981	0.2478045542
982	0.2477159592
983	0.2476209859
984	0.247490396
985	0.2473724201
986	0.2472737698
987	0.247216013
988	0.2471357037
989	0.2470719289
990	0.2469490679
991	0.2468924647
992	0.2467996224
993	0.246715511
994	0.2466917368
995	0.2466292204
996	0.2465741253
997	0.2465151073
998	0.2464820851
999	0.2464279806
